dm,cod_ine
la paz - san pedro de tiquina,21702
la paz - santiago de callapa,20308
la paz - santiago de huata,20205
la paz - santiago de machaca,21901
la paz - sapahaqui,20902
la paz - sica sica (villa aroma),21301
la paz - sorata,20601
la paz - tacacoma,20603
la paz - taraco,20807
la paz - teoponte,20608
la paz - tiawanacu,20803
la paz - tipuani,20606
la paz - tito yupanqui (parquipujio),21703
la paz - umala,21302
la paz - viacha,20801
la paz - waldo ballivian,20306
la paz - yaco,20903
la paz - yanacachi,21103
oruro - andamarca,41201
oruro - antequera,40603
oruro - belen de andamarca,41202
oruro - caracollo,40102
oruro - carangas,41503
oruro - challapata,40201
oruro - chipaya,40903
oruro - choque cota,40302
oruro - coipasa,40902
oruro - corque,40301
oruro - cruz de machacamarca,40503
oruro - curahuara de carangas,40401
oruro - el choro,40103
oruro - escara,40502
oruro - esmeralda,40505
oruro - eucaliptus,41101
oruro - huachacalla,40501
oruro - huanuni,40701
oruro - huayllamarca,41601
oruro - la rivera,41501
oruro - machacamarca,40702
oruro - oruro,40101
oruro - pampa aullagas,40802
oruro - pazña,40602
oruro - poopo,40601
oruro - sabaya,40901
oruro - salinas de garci mendoza,40801
oruro - santiago de huari,41401
oruro - santuario de quillacas,40202
oruro - soracachi,40104
oruro - todos santos,41502
oruro - toledo,41001
oruro - totora(orr),41301
oruro - turco,40402
oruro - yunguyo de litoral,40504
pando - bella flor,90104
pando - bolpebra,90103
pando - cobija,90101
pando - eureka (santos mercado),90503
pando - filadelfia,90203
pando - ingavi (humaita),90402
pando - nacebe (santa rosa del abuna),90401
pando - nuevo manoa (nueva esperanza),90501
pando - porvenir,90102
pando - puerto gonzalo moreno,90301
pando - puerto rico,90201
pando - san lorenzo(pnd),90302
pando - san pedro(pnd),90202
pando - sena,90303
pando - villa nueva (loma alta),90502
potosí - acacio,51302
potosí - arampampa,51301
potosí - atocha,50802
potosí - belen de urmiri,50104
potosí - betanzos,50301
"potosí - caiza ""d""",51102
potosí - caripuyo,50702
potosí - chaqui,50302
potosí - chayanta,50202
potosí - chuquihuta ayllu jucumani,50204
potosí - ckochas,51103
"potosí - colcha ""k""",50901
potosí - colquechaca,50401
potosí - cotagaita,50601
potosí - llallagua,50203
potosí - llica,51401
potosí - mojinete,51002
potosí - ocuri,50404
potosí - pocoata,50403
potosí - porco,51203
potosí - potosí,50101
potosí - puna,51101
potosí - ravelo,50402
potosí - s.p.de quemes,50902
potosí - sacaca,50701
potosí - san agustin,51601
potosí - san antonio de esmoruco,51003
potosí - san p. de lipez,51001
potosí - san p.de quemes,50902
potosí - san pedro de buena vista,50501
potosí - tacobamba,50303
potosí - tahua,51402
potosí - tinguipaya,50102
potosí - tomave,51202
potosí - toro toro,50502
potosí - tupiza,50801
potosí - uncia,50201
potosí - uyuni,51201
potosí - villazon,51501
potosí - vitichi,50602
potosí - yocalla,50103
santa cruz - ascencion de guarayos,71501
santa cruz - boyuibe,70707
santa cruz - buena vista,70401
santa cruz - cabezas,70703
santa cruz - camiri,70706
santa cruz - carmen rivero torrez,71403
santa cruz - charagua,70702
santa cruz - colpa belgica,70603
santa cruz - comarapa,71301
santa cruz - concepcion,71101
santa cruz - cotoca,70102
santa cruz - cuatro cañadas,71106
santa cruz - cuevo,70704
santa cruz - el puente(stc),71503
santa cruz - el torno,70105
santa cruz - fernandez alonso,71004
santa cruz - general saavedra,71002
santa cruz - gutierrez,70705
santa cruz - la guardia,70104
santa cruz - lagunillas,70701
santa cruz - mairana,70903
santa cruz - mineros,71003
santa cruz - montero,71001
santa cruz - moro moro,70803
santa cruz - okinawa,70202
santa cruz - pailon,70502
santa cruz - pampa grande,70902
santa cruz - porongo,70103
santa cruz - portachuelo,70601
santa cruz - postrer valle,70804
santa cruz - pucara,70805
santa cruz - puerto quijarro,71402
santa cruz - puerto suarez,71401
santa cruz - quirusillas,70904
santa cruz - robore,70503
santa cruz - saipina,71302
santa cruz - samaipata,70901
santa cruz - san antonio de lomerio,71105
santa cruz - san carlos,70402
santa cruz - san ignacio de velasco,70301
santa cruz - san javier(stc),71102
santa cruz - san jose de chiquitos,70501
santa cruz - san juan de yapacani,70403
