fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-18,21703,Tito Yupanqui (Parquipujio),La Paz,6580,1,14
2021-12-18,21703,Tito Yupanqui (Parquipujio),La Paz,6580,2,13
2021-12-04,21703,Tito Yupanqui (Parquipujio),La Paz,6580,2,12
2021-12-04,21703,Tito Yupanqui (Parquipujio),La Paz,6580,1,13
2021-10-23,21703,Tito Yupanqui (Parquipujio),La Paz,6580,1,11
2022-01-22,21703,Tito Yupanqui (Parquipujio),La Paz,6580,1,18
2022-01-22,21703,Tito Yupanqui (Parquipujio),La Paz,6580,2,13
2021-10-23,21703,Tito Yupanqui (Parquipujio),La Paz,6580,2,11
2021-10-30,21703,Tito Yupanqui (Parquipujio),La Paz,6580,1,11
2021-10-30,21703,Tito Yupanqui (Parquipujio),La Paz,6580,2,11
2021-11-13,21703,Tito Yupanqui (Parquipujio),La Paz,6580,1,13
2021-11-13,21703,Tito Yupanqui (Parquipujio),La Paz,6580,2,12
2021-11-20,21703,Tito Yupanqui (Parquipujio),La Paz,6580,1,13
2021-11-20,21703,Tito Yupanqui (Parquipujio),La Paz,6580,2,12
2021-11-27,21703,Tito Yupanqui (Parquipujio),La Paz,6580,1,13
2021-11-27,21703,Tito Yupanqui (Parquipujio),La Paz,6580,2,12
