fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-13,80801,Magdalena,Beni,13077,2,42
2021-12-04,80801,Magdalena,Beni,13077,1,49
2021-11-27,80801,Magdalena,Beni,13077,2,42
2021-11-27,80801,Magdalena,Beni,13077,1,48
2021-11-20,80801,Magdalena,Beni,13077,2,42
2021-11-20,80801,Magdalena,Beni,13077,1,48
2021-10-30,80801,Magdalena,Beni,13077,1,47
2021-11-13,80801,Magdalena,Beni,13077,1,47
2021-10-30,80801,Magdalena,Beni,13077,2,40
2021-10-23,80801,Magdalena,Beni,13077,2,40
2021-10-23,80801,Magdalena,Beni,13077,1,46
2021-12-04,80801,Magdalena,Beni,13077,2,43
