fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-27,21301,Sica Sica (Villa Aroma),La Paz,32098,1,24
2021-12-04,21301,Sica Sica (Villa Aroma),La Paz,32098,1,25
2021-10-30,21301,Sica Sica (Villa Aroma),La Paz,32098,1,22
2022-01-22,21301,Sica Sica (Villa Aroma),La Paz,32098,2,24
2022-01-22,21301,Sica Sica (Villa Aroma),La Paz,32098,1,32
2021-12-18,21301,Sica Sica (Villa Aroma),La Paz,32098,2,23
2021-12-18,21301,Sica Sica (Villa Aroma),La Paz,32098,1,25
2021-12-04,21301,Sica Sica (Villa Aroma),La Paz,32098,2,23
2021-11-27,21301,Sica Sica (Villa Aroma),La Paz,32098,2,22
2021-10-23,21301,Sica Sica (Villa Aroma),La Paz,32098,1,22
2021-11-20,21301,Sica Sica (Villa Aroma),La Paz,32098,2,22
2021-11-20,21301,Sica Sica (Villa Aroma),La Paz,32098,1,24
2021-11-13,21301,Sica Sica (Villa Aroma),La Paz,32098,2,22
2021-11-13,21301,Sica Sica (Villa Aroma),La Paz,32098,1,24
2021-10-30,21301,Sica Sica (Villa Aroma),La Paz,32098,2,20
2021-10-23,21301,Sica Sica (Villa Aroma),La Paz,32098,2,20
