fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-23,20903,Yaco,La Paz,7557,1,39
2021-12-18,20903,Yaco,La Paz,7557,1,43
2022-01-22,20903,Yaco,La Paz,7557,2,41
2021-11-20,20903,Yaco,La Paz,7557,2,38
2021-10-23,20903,Yaco,La Paz,7557,2,35
2021-10-30,20903,Yaco,La Paz,7557,1,39
2021-10-30,20903,Yaco,La Paz,7557,2,36
2021-11-13,20903,Yaco,La Paz,7557,1,41
2022-01-22,20903,Yaco,La Paz,7557,1,52
2021-11-20,20903,Yaco,La Paz,7557,1,42
2021-11-13,20903,Yaco,La Paz,7557,2,38
2021-11-27,20903,Yaco,La Paz,7557,1,42
2021-11-27,20903,Yaco,La Paz,7557,2,38
2021-12-04,20903,Yaco,La Paz,7557,1,42
2021-12-04,20903,Yaco,La Paz,7557,2,39
2021-12-18,20903,Yaco,La Paz,7557,2,39
