fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-30,21102,Irupana (Villa De Lanza),La Paz,19355,2,31
2021-10-30,21102,Irupana (Villa De Lanza),La Paz,19355,1,34
2021-10-23,21102,Irupana (Villa De Lanza),La Paz,19355,2,31
2021-10-23,21102,Irupana (Villa De Lanza),La Paz,19355,1,33
2021-11-27,21102,Irupana (Villa De Lanza),La Paz,19355,2,34
2021-12-04,21102,Irupana (Villa De Lanza),La Paz,19355,1,37
2021-11-13,21102,Irupana (Villa De Lanza),La Paz,19355,2,34
2021-11-20,21102,Irupana (Villa De Lanza),La Paz,19355,2,34
2021-12-04,21102,Irupana (Villa De Lanza),La Paz,19355,2,35
2021-11-27,21102,Irupana (Villa De Lanza),La Paz,19355,1,36
2021-11-13,21102,Irupana (Villa De Lanza),La Paz,19355,1,36
2021-11-20,21102,Irupana (Villa De Lanza),La Paz,19355,1,36
