fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-27,41501,La Rivera,Oruro,581,2,32
2021-10-23,41501,La Rivera,Oruro,581,1,31
2021-10-23,41501,La Rivera,Oruro,581,2,30
2021-10-30,41501,La Rivera,Oruro,581,1,32
2021-11-13,41501,La Rivera,Oruro,581,2,31
2021-11-20,41501,La Rivera,Oruro,581,1,33
2021-11-20,41501,La Rivera,Oruro,581,2,32
2021-11-27,41501,La Rivera,Oruro,581,1,33
2021-11-13,41501,La Rivera,Oruro,581,1,32
2021-12-04,41501,La Rivera,Oruro,581,1,34
2021-12-18,41501,La Rivera,Oruro,581,1,34
2021-12-18,41501,La Rivera,Oruro,581,2,32
2022-01-22,41501,La Rivera,Oruro,581,1,34
2022-01-22,41501,La Rivera,Oruro,581,2,32
2021-10-30,41501,La Rivera,Oruro,581,2,30
2021-12-04,41501,La Rivera,Oruro,581,2,32
