fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-20,70105,El Torno,Santa Cruz,63298,2,63
2021-12-04,70105,El Torno,Santa Cruz,63298,2,65
2021-12-04,70105,El Torno,Santa Cruz,63298,1,71
2021-11-27,70105,El Torno,Santa Cruz,63298,2,64
2021-11-27,70105,El Torno,Santa Cruz,63298,1,70
2021-11-13,70105,El Torno,Santa Cruz,63298,1,69
2021-11-20,70105,El Torno,Santa Cruz,63298,1,70
2021-10-30,70105,El Torno,Santa Cruz,63298,2,62
2021-10-30,70105,El Torno,Santa Cruz,63298,1,68
2021-10-23,70105,El Torno,Santa Cruz,63298,2,61
2021-10-23,70105,El Torno,Santa Cruz,63298,1,67
2021-11-13,70105,El Torno,Santa Cruz,63298,2,63
