fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-13,21202,Laja,La Paz,26225,2,40
2021-10-23,21202,Laja,La Paz,26225,1,38
2021-10-23,21202,Laja,La Paz,26225,2,37
2021-10-30,21202,Laja,La Paz,26225,1,39
2021-10-30,21202,Laja,La Paz,26225,2,37
2021-11-13,21202,Laja,La Paz,26225,1,41
2021-12-18,21202,Laja,La Paz,26225,1,43
2021-11-20,21202,Laja,La Paz,26225,1,41
2021-11-20,21202,Laja,La Paz,26225,2,40
2021-12-04,21202,Laja,La Paz,26225,2,40
2021-12-04,21202,Laja,La Paz,26225,1,42
2021-11-27,21202,Laja,La Paz,26225,2,40
2021-11-27,21202,Laja,La Paz,26225,1,42
2022-01-22,21202,Laja,La Paz,26225,2,42
2021-12-18,21202,Laja,La Paz,26225,2,41
2022-01-22,21202,Laja,La Paz,26225,1,60
