fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-30,31205,Puerto Villarroel,Cochabamba,52357,2,38
2021-11-13,31205,Puerto Villarroel,Cochabamba,52357,1,47
2021-11-20,31205,Puerto Villarroel,Cochabamba,52357,1,47
2021-10-23,31205,Puerto Villarroel,Cochabamba,52357,2,37
2021-10-23,31205,Puerto Villarroel,Cochabamba,52357,1,43
2021-11-13,31205,Puerto Villarroel,Cochabamba,52357,2,40
2021-10-30,31205,Puerto Villarroel,Cochabamba,52357,1,44
2021-11-20,31205,Puerto Villarroel,Cochabamba,52357,2,40
2021-11-27,31205,Puerto Villarroel,Cochabamba,52357,2,41
2021-12-04,31205,Puerto Villarroel,Cochabamba,52357,1,48
2021-11-27,31205,Puerto Villarroel,Cochabamba,52357,1,47
2021-12-04,31205,Puerto Villarroel,Cochabamba,52357,2,42
