fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-27,70303,San Rafael,Santa Cruz,7444,1,70
2021-10-30,70303,San Rafael,Santa Cruz,7444,1,69
2021-10-30,70303,San Rafael,Santa Cruz,7444,2,60
2021-11-13,70303,San Rafael,Santa Cruz,7444,1,70
2021-11-20,70303,San Rafael,Santa Cruz,7444,1,70
2021-10-23,70303,San Rafael,Santa Cruz,7444,2,59
2021-11-20,70303,San Rafael,Santa Cruz,7444,2,60
2022-01-22,70303,San Rafael,Santa Cruz,7444,2,65
2021-11-27,70303,San Rafael,Santa Cruz,7444,2,61
2021-12-04,70303,San Rafael,Santa Cruz,7444,1,71
2022-01-22,70303,San Rafael,Santa Cruz,7444,1,76
2021-12-18,70303,San Rafael,Santa Cruz,7444,2,62
2021-12-18,70303,San Rafael,Santa Cruz,7444,1,72
2021-12-04,70303,San Rafael,Santa Cruz,7444,2,61
2021-10-23,70303,San Rafael,Santa Cruz,7444,1,69
2021-11-13,70303,San Rafael,Santa Cruz,7444,2,60
