fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2022-01-22,70701,Lagunillas,Santa Cruz,5664,2,89
2021-10-23,70701,Lagunillas,Santa Cruz,5664,1,87
2021-11-20,70701,Lagunillas,Santa Cruz,5664,2,84
2022-01-22,70701,Lagunillas,Santa Cruz,5664,1,94
2021-10-23,70701,Lagunillas,Santa Cruz,5664,2,78
2021-10-30,70701,Lagunillas,Santa Cruz,5664,1,87
2021-10-30,70701,Lagunillas,Santa Cruz,5664,2,79
2021-11-13,70701,Lagunillas,Santa Cruz,5664,2,84
2021-11-20,70701,Lagunillas,Santa Cruz,5664,1,89
2021-11-13,70701,Lagunillas,Santa Cruz,5664,1,89
2021-11-27,70701,Lagunillas,Santa Cruz,5664,1,90
2021-11-27,70701,Lagunillas,Santa Cruz,5664,2,85
2021-12-04,70701,Lagunillas,Santa Cruz,5664,1,90
2021-12-04,70701,Lagunillas,Santa Cruz,5664,2,86
2021-12-18,70701,Lagunillas,Santa Cruz,5664,1,91
2021-12-18,70701,Lagunillas,Santa Cruz,5664,2,87
