fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-30,80601,Loreto,Beni,4035,1,17
2021-10-30,80601,Loreto,Beni,4035,2,13
2021-11-13,80601,Loreto,Beni,4035,1,20
2021-11-13,80601,Loreto,Beni,4035,2,15
2021-11-27,80601,Loreto,Beni,4035,2,15
2021-11-20,80601,Loreto,Beni,4035,1,20
2021-11-20,80601,Loreto,Beni,4035,2,15
2021-11-27,80601,Loreto,Beni,4035,1,20
2021-10-23,80601,Loreto,Beni,4035,1,17
2021-10-23,80601,Loreto,Beni,4035,2,13
2021-12-04,80601,Loreto,Beni,4035,2,18
2021-12-04,80601,Loreto,Beni,4035,1,22
