fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-18,21402,Coripata,La Paz,18873,2,33
2021-10-23,21402,Coripata,La Paz,18873,2,30
2021-10-30,21402,Coripata,La Paz,18873,1,32
2021-10-30,21402,Coripata,La Paz,18873,2,31
2021-11-13,21402,Coripata,La Paz,18873,1,34
2022-01-22,21402,Coripata,La Paz,18873,1,43
2021-11-13,21402,Coripata,La Paz,18873,2,32
2022-01-22,21402,Coripata,La Paz,18873,2,34
2021-10-23,21402,Coripata,La Paz,18873,1,32
2021-11-20,21402,Coripata,La Paz,18873,1,34
2021-11-20,21402,Coripata,La Paz,18873,2,32
2021-11-27,21402,Coripata,La Paz,18873,1,34
2021-11-27,21402,Coripata,La Paz,18873,2,32
2021-12-04,21402,Coripata,La Paz,18873,1,35
2021-12-18,21402,Coripata,La Paz,18873,1,35
2021-12-04,21402,Coripata,La Paz,18873,2,33
