fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-30,20804,Desaguadero,La Paz,7708,1,41
2021-11-27,20804,Desaguadero,La Paz,7708,2,41
2021-10-23,20804,Desaguadero,La Paz,7708,2,38
2021-10-23,20804,Desaguadero,La Paz,7708,1,40
2021-11-13,20804,Desaguadero,La Paz,7708,2,41
2021-11-20,20804,Desaguadero,La Paz,7708,1,43
2021-11-20,20804,Desaguadero,La Paz,7708,2,41
2021-11-27,20804,Desaguadero,La Paz,7708,1,43
2021-10-30,20804,Desaguadero,La Paz,7708,2,39
2021-12-04,20804,Desaguadero,La Paz,7708,1,44
2021-12-04,20804,Desaguadero,La Paz,7708,2,42
2021-12-18,20804,Desaguadero,La Paz,7708,1,48
2021-12-18,20804,Desaguadero,La Paz,7708,2,43
2022-01-22,20804,Desaguadero,La Paz,7708,1,60
2022-01-22,20804,Desaguadero,La Paz,7708,2,47
2021-11-13,20804,Desaguadero,La Paz,7708,1,43
