fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-30,10801,Villa Serrano,Chuquisaca,11711,1,74
2021-10-30,10801,Villa Serrano,Chuquisaca,11711,2,72
2021-11-13,10801,Villa Serrano,Chuquisaca,11711,1,75
2021-11-13,10801,Villa Serrano,Chuquisaca,11711,2,73
2021-11-20,10801,Villa Serrano,Chuquisaca,11711,1,75
2021-11-20,10801,Villa Serrano,Chuquisaca,11711,2,73
2021-11-27,10801,Villa Serrano,Chuquisaca,11711,1,75
2021-11-27,10801,Villa Serrano,Chuquisaca,11711,2,73
2021-12-04,10801,Villa Serrano,Chuquisaca,11711,1,75
2021-12-04,10801,Villa Serrano,Chuquisaca,11711,2,74
2021-10-23,10801,Villa Serrano,Chuquisaca,11711,2,71
2021-10-23,10801,Villa Serrano,Chuquisaca,11711,1,74
