,fecha,departamento,municipio,dosis,vacunacion
56,2021-10-23,La Paz,Coroico,1,33%
57,2021-10-23,La Paz,Irupana (Villa De Lanza),1,33%
58,2021-10-23,La Paz,Puerto Perez,1,33%
59,2021-10-23,La Paz,Achacachi,1,34%
60,2021-10-23,La Paz,Cajuata,1,35%
61,2021-10-23,La Paz,Chua Cocani,1,35%
62,2021-10-23,La Paz,Huarina ,1,35%
63,2021-10-23,La Paz,Papel Pampa,1,35%
64,2021-10-23,La Paz,Luribay,1,36%
65,2021-10-23,La Paz,Tipuani,1,37%
66,2021-10-23,La Paz,Calamarca,1,38%
67,2021-10-23,La Paz,Laja,1,38%
68,2021-10-23,La Paz,Palca,1,38%
69,2021-10-23,La Paz,Colquiri,1,39%
70,2021-10-23,La Paz,Escoma,1,39%
71,2021-10-23,La Paz,Huatajata,1,39%
72,2021-10-23,La Paz,Yaco,1,39%
73,2021-10-23,La Paz,Desaguadero,1,40%
74,2021-10-23,La Paz,Yanacachi,1,40%
75,2021-10-23,La Paz,Umala,1,41%
76,2021-10-23,La Paz,Collana,1,42%
77,2021-10-23,La Paz,Guaqui,1,42%
78,2021-10-23,La Paz,San Buena Ventura,1,42%
79,2021-10-23,La Paz,Puerto Acosta,1,43%
80,2021-10-23,La Paz,San Pedro De Tiquina,1,43%
81,2021-10-23,La Paz,Nazacara De Pacajes,1,44%
82,2021-10-23,La Paz,Quime,1,44%
83,2021-10-23,La Paz,Viacha,1,50%
84,2021-10-23,La Paz,El Alto,1,51%
85,2021-10-23,La Paz,Achocalla,1,68%
86,2021-10-23,La Paz,La Paz,1,102%
0,2021-10-23,Oruro,Cruz De Machacamarca,1,6%
1,2021-10-23,Oruro,Escara,1,9%
2,2021-10-23,Oruro,El Choro,1,17%
3,2021-10-23,Oruro,Todos Santos,1,17%
4,2021-10-23,Oruro,Esmeralda,1,19%
5,2021-10-23,Oruro,Carangas,1,22%
6,2021-10-23,Oruro,Chipaya,1,22%
7,2021-10-23,Oruro,Santiago De Huari,1,25%
8,2021-10-23,Oruro,Toledo,1,27%
9,2021-10-23,Oruro,Salinas De Garci Mendoza,1,28%
10,2021-10-23,Oruro,La Rivera,1,31%
11,2021-10-23,Oruro,Corque,1,39%
12,2021-10-23,Oruro,Santuario De Quillacas,1,39%
13,2021-10-23,Oruro,Sabaya,1,40%
14,2021-10-23,Oruro,Andamarca,1,41%
15,2021-10-23,Oruro,Belen De Andamarca,1,42%
16,2021-10-23,Oruro,Coipasa,1,42%
17,2021-10-23,Oruro,Challapata,1,44%
18,2021-10-23,Oruro,Turco,1,45%
19,2021-10-23,Oruro,Yunguyo De Litoral,1,45%
20,2021-10-23,Oruro,Choque Cota,1,47%
21,2021-10-23,Oruro,Poopo,1,47%
22,2021-10-23,Oruro,Caracollo,1,48%
23,2021-10-23,Oruro,Pampa Aullagas,1,50%
24,2021-10-23,Oruro,Pazña,1,51%
25,2021-10-23,Oruro,Eucaliptus,1,52%
26,2021-10-23,Oruro,Totora(Orr),1,52%
27,2021-10-23,Oruro,Soracachi,1,54%
28,2021-10-23,Oruro,Huayllamarca,1,59%
29,2021-10-23,Oruro,Huanuni,1,61%
30,2021-10-23,Oruro,Machacamarca,1,63%
31,2021-10-23,Oruro,Curahuara De Carangas,1,66%
32,2021-10-23,Oruro,Oruro,1,78%
33,2021-10-23,Oruro,Antequera,1,83%
34,2021-10-23,Oruro,Huachacalla,1,98%
0,2021-10-23,Potosí,San Pedro De Buena Vista,1,12%
1,2021-10-23,Potosí,Tinguipaya,1,14%
2,2021-10-23,Potosí,Chuquihuta Ayllu Jucumani,1,18%
3,2021-10-23,Potosí,Colquechaca,1,19%
4,2021-10-23,Potosí,Acacio,1,20%
5,2021-10-23,Potosí,Belen De Urmiri,1,21%
6,2021-10-23,Potosí,Pocoata,1,22%
7,2021-10-23,Potosí,Ravelo,1,23%
8,2021-10-23,Potosí,Toro Toro,1,23%
