,fecha,cod_ine,municipio,departamento,dosis,porcentaje
510,2022-01-22,21201,Pucarani,La Paz,1,47
511,2022-01-22,21201,Pucarani,La Paz,2,31
526,2022-01-22,21101,Chulumani (V. De La Libertad),La Paz,1,42
527,2022-01-22,21101,Chulumani (V. De La Libertad),La Paz,2,32
542,2022-01-22,20501,Chuma,La Paz,1,40
543,2022-01-22,20501,Chuma,La Paz,2,30
558,2022-01-22,20602,Guanay,La Paz,1,39
559,2022-01-22,20602,Guanay,La Paz,2,32
574,2022-01-22,21001,Inquisivi,La Paz,1,41
575,2022-01-22,21001,Inquisivi,La Paz,2,36
590,2022-01-22,20205,Santiago De Huata,La Paz,1,43
591,2022-01-22,20205,Santiago De Huata,La Paz,2,29
606,2022-01-22,20603,Tacacoma,La Paz,1,34
607,2022-01-22,20603,Tacacoma,La Paz,2,31
622,2022-01-22,20608,Teoponte,La Paz,1,55
623,2022-01-22,20608,Teoponte,La Paz,2,44
638,2022-01-22,21306,Colquencha,La Paz,1,45
639,2022-01-22,21306,Colquencha,La Paz,2,31
654,2022-01-22,21501,Ixiamas,La Paz,1,52
655,2022-01-22,21501,Ixiamas,La Paz,2,50
670,2022-01-22,20806,Jesus De Machaca,La Paz,1,43
671,2022-01-22,20806,Jesus De Machaca,La Paz,2,35
686,2022-01-22,20805,San Andres De Machaca,La Paz,1,44
687,2022-01-22,20805,San Andres De Machaca,La Paz,2,35
702,2022-01-22,21801,San Pedro De Curahuara,La Paz,1,38
703,2022-01-22,21801,San Pedro De Curahuara,La Paz,2,34
718,2022-01-22,20306,Waldo Ballivian,La Paz,1,43
719,2022-01-22,20306,Waldo Ballivian,La Paz,2,30
734,2022-01-22,22001,Caranavi,La Paz,1,45
735,2022-01-22,22001,Caranavi,La Paz,2,31
750,2022-01-22,21701,Copacabana,La Paz,1,41
751,2022-01-22,21701,Copacabana,La Paz,2,33
766,2022-01-22,20807,Taraco,La Paz,1,49
767,2022-01-22,20807,Taraco,La Paz,2,31
782,2022-01-22,20301,Coro Coro,La Paz,1,47
783,2022-01-22,20301,Coro Coro,La Paz,2,36
798,2022-01-22,20604,Quiabaya,La Paz,1,53
799,2022-01-22,20604,Quiabaya,La Paz,2,39
814,2022-01-22,21901,Santiago De Machaca,La Paz,1,46
815,2022-01-22,21901,Santiago De Machaca,La Paz,2,35
830,2022-01-22,20803,Tiahuanacu,La Paz,1,45
831,2022-01-22,20803,Tiahuanacu,La Paz,2,32
846,2022-01-22,21402,Coripata,La Paz,1,43
847,2022-01-22,21402,Coripata,La Paz,2,34
862,2022-01-22,21104,Palos Blancos,La Paz,1,48
863,2022-01-22,21104,Palos Blancos,La Paz,2,37
878,2022-01-22,21305,Patacamaya,La Paz,1,57
879,2022-01-22,21305,Patacamaya,La Paz,2,40
